2023-08-01,Chuyên Viên Kiểm Thử (Manual Tester),Tester / QA,Công ty Cổ phần Giải pháp Công nghệ TTC Việt Nam,17 - 22 triệu,17000000.0,22000000.0,VND
2023-08-01,"Junior UX/UI Designer - Thanh Xuân, Hà Nội (Thu Nhập Tới 15M)",Developer / Engineer,Công ty TNHH Volio Việt Nam,tới 15 triệu,,15000000.0,VND
2023-08-01,Junior Tester,Tester / QA,Công ty Cp Công nghệ và Truyền thông Dagoras,7 - 15 triệu,7000000.0,15000000.0,VND
2023-08-01,System Network Fresher - Quận 7 - Hồ Chí Minh,Developer / Engineer,Công Ty Cổ Phần VNETWORK,3 - 5 triệu,3000000.0,5000000.0,VND
2023-08-01,PHP Developer,Developer / Engineer,CÔNG TY TNHH GIANTY VIỆT NAM,thoả thuận,,,
2023-08-01,Kỹ Sư Quản Lý Chất Lượng CNTT (QA),Developer / Engineer,TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,"700 - 1,500 usd",700.0,1500.0,USD
2023-08-01,Business Development Intern (Thị Trường Nhật Bản),Developer / Engineer,Công ty TNHH phần mềm Kaopiz,thoả thuận,,,
2023-08-01,Business Analysis (N2 Up),Business / Analyst / Product,FPT Software,thoả thuận,,,
2023-08-01,Project Manager (N1),Business / Analyst / Product,FPT Software,thoả thuận,,,
2023-08-01,Solution Architect_Salary Up To $4000,IT Operations / DevOps / Support,FPT Software,thoả thuận,,,
2023-08-01,Mobile Developer (Android/IOS),Developer / Engineer,Lampart,thoả thuận,,,
2023-08-01,Developer (PHP),Developer / Engineer,Lampart,thoả thuận,,,
2023-08-01,Project Manager_Salary Up To $3000,Business / Analyst / Product,FPT Software,thoả thuận,,,
2023-08-01,Bridge Software Engineer (.Net/Azure/Devops),Developer / Engineer,FPT Software,thoả thuận,,,
2023-08-01,Senior Account,Business / Analyst / Product,Công ty TNHH Giải pháp chuyển đổi số Việt Nam,tới 25 triệu,,25000000.0,VND
2023-08-01,Senior PHP,Developer / Engineer,Lampart,thoả thuận,,,
2023-08-01,Android Developer,Developer / Engineer,Công ty TNHH Tập Đoàn Đầu Tư Welly Corp,10 - 15 triệu,10000000.0,15000000.0,VND
2023-08-01,Nhân Viên Thiết Kế Website - Lương Cứng 10 -17 Triệu (UI/UX),Developer / Engineer,CÔNG TY TNHH TRUYỀN THÔNG MEDIA POWER,12 - 20 triệu,12000000.0,20000000.0,VND
2023-08-01,Senior Unity Engineer,Developer / Engineer,FPT Software,thoả thuận,,,
2023-08-01,"Nhân Viên Phát Triển Thị Trường B2B Hàn Quốc ( Từ 1 Năm Kinh Nghiệm, Tiếng Hàn Tốt ) Offer Upto",Other,Công Ty Cổ Phần Công Nghệ VMO Holdings,thoả thuận,,,
2023-08-01,Lập Trình Viên Full Stack,Developer / Engineer,Công ty Cổ phần Hợp tác BES,trên 10 triệu,10000000.0,,VND
2023-08-01,Devops Tại Hà Nội,Developer / Engineer,CÔNG TY CỔ PHẦN TRƯỜNG HỌC CÔNG NGHỆ MINDX,"trên 1,700 usd",1700.0,,USD
2023-08-01,Business Analyst (Software Detail Design Engineer),Developer / Engineer,Lampart,thoả thuận,,,
2023-08-01,Product Manager/Project Manager - Dự Án Giáo Dục.,Business / Analyst / Product,Công ty TNHH Hệ thống Thông Tin FPT,thoả thuận,,,
